variable,station_count,q05,q25,median,q75,q95
Temperature,74,-2.192823427915665,0.23517415273722722,2.4768681646182387,3.8263426185730998,5.15780373440382
Dew point,74,-1.204806849438093,0.5085854816131901,1.393982677476826,3.1357296205987213,4.0061699258699575
U10,74,-0.180889443266386,-0.025313228249749773,0.0148489569499602,0.06505038820042423,0.13166966054672344
V10,74,-0.2970027901276394,-0.03252157124852775,0.0378440716965711,0.13528097894643404,0.33251834012796105
Wind speed,74,-0.27046106303362305,-0.0955536656665092,0.008317038412396751,0.129665628184613,0.9525550174415585
