variable,group,n,background_rmse,background_mae,background_bias,background_r2,corrected_rmse,corrected_mae,corrected_bias,corrected_r2,delta_rmse_bg_minus_corrected,delta_mae_bg_minus_corrected,bias_shift_corrected_minus_bg
component_WCT,all_stations,67905,6.783081044812517,5.534286875339408,-0.0919811152897591,-1.0523582297975604,6.190070766435607,4.758274169181435,3.862969277002005,-0.7091901567395942,0.5930102783769104,0.7760127061579727,3.954950392291764
direct_WCT_own_background,all_stations,67905,6.8841676600643495,5.639483154630859,-0.2593543279711293,-1.1139856451358172,5.602509518946998,4.345867239927632,1.46100089253571,-0.4001171089293824,1.2816581411173518,1.293615914703227,1.720355220506839
component_WCT,excluding_mismatch,45064,6.062913407269152,4.907647220825762,-1.8165254107213673,-0.9541545556456308,4.6767568301462354,3.784697807193074,2.681041308837651,-0.1627484165153372,1.3861565771229163,1.122949413632688,4.4975667195590185
direct_WCT_own_background,excluding_mismatch,45064,6.268316559835451,5.093731908370174,-1.9722405365080131,-1.0888055907821603,3.96864178860566,3.1564791651151984,0.2295303316217967,0.1627021393904084,2.2996747712297916,1.937252743254975,2.20177086812981
