scenario,month,n,component_corrected_rmse,direct_corrected_rmse,direct_minus_component_rmse
all_stations,1,28705,5.818633536721447,5.424088868774529,-0.394544667946918
all_stations,2,20879,6.085776366797122,5.290248895071603,-0.795527471725519
all_stations,3,13594,6.756488787571857,6.08899562234718,-0.6674931652246769
all_stations,4,4727,7.0689254918781925,6.480889424542215,-0.5880360673359775
excluding_mismatch,1,19790,4.5669653916085196,4.198034402821945,-0.36893098878657415
excluding_mismatch,2,14146,4.6642630916884205,3.878502106195194,-0.7857609854932264
excluding_mismatch,3,8612,4.821825503332002,3.6765951584943344,-1.145230344837668
excluding_mismatch,4,2516,5.0788150757216535,3.5544703702579796,-1.5243447054636738
