variable,group,n,background_rmse,background_mae,background_bias,background_r2,corrected_rmse,corrected_mae,corrected_bias,corrected_r2,delta_rmse_bg_minus_corrected,delta_mae_bg_minus_corrected,bias_shift_corrected_minus_bg
Temperature,all,210307,5.333413215074663,4.324217490166964,-3.178623167971646,0.3320887086312972,3.329313855986717,2.419895468100545,0.4990901711968836,0.7397337847968699,2.004099359087946,1.904322022066419,3.6777133391685295
Dew point,all,210307,4.6285555175781825,3.61006242579527,-2.031661923627272,0.526229486150511,3.1120244248583604,2.107907911126746,0.4049154714266859,0.7858278150896731,1.516531092719822,1.5021545146685238,2.436577395053958
U10,all,210263,1.8434741229271985,1.2252268942464597,-0.1759389769427399,0.093666695863211,1.853421410025108,1.2215265475060848,-0.1278509638660387,0.0838592554420679,-0.0099472870979095,0.0037003467403748,0.0480880130767011
V10,all,210263,1.9353641485360789,1.2872332328365517,-0.043858825622028,0.2518143759858865,1.870748861561952,1.2650226272682716,0.0191441409436249,0.3009391914876803,0.0646152869741267,0.02221060556828,0.0630029665656529
Wind speed,all,210263,2.247993421248901,1.3833036351041432,-1.1937096850070787,-0.2896535143604846,2.01927971308217,1.3131833938065445,-1.0477516914981533,-0.0405811113189162,0.2287137081667309,0.0701202412975987,0.1459579935089254
