stratum_type,stratum,n,background_rmse,corrected_rmse,background_mae,corrected_mae,background_bias,corrected_bias,delta_rmse_bg_minus_corrected
month,month_1,28705,6.90180796885481,5.818633536721447,5.612925028286798,4.435485208855158,-1.7774850844864998,3.293471988967638,1.0831744321333634
month,month_2,20879,6.220442746515254,6.085776366797122,5.093277834001608,4.6907481018224795,-0.3004110518079337,3.8685558005523895,0.13466637971813267
month,month_3,13594,7.038845567686229,6.756488787571857,5.740799106777138,5.236261686225461,2.0947412565466723,4.566491715862989,0.28235678011437226
month,month_4,4727,7.634984617186227,7.0689254918781925,6.41078197150454,5.642084526671803,4.775354648960497,5.273397581199543,0.5660591253080343
mismatch,mismatch_mismatch,22841,8.016384436572213,8.412007820565545,6.770611440419873,6.679085218463145,3.3104471553345567,6.194846250749146,-0.39562338399333186
mismatch,mismatch_regular,45064,6.062913407269152,4.6767568301462354,4.907647220825762,3.784697807193074,-1.8165254107213673,2.681041308837651,1.3861565771229163
elevation,aligned_le_100m,37542,5.786944184471307,4.676727842415324,4.653051659381482,3.799373804884749,-2.070969774741737,2.7703132804917803,1.110216342055983
elevation,high_gt_300m,8562,8.033402645568048,11.276251305478265,7.02392347033164,9.987363340862617,4.645296541738925,9.689456783634514,-3.2428486599102175
elevation,moderate_100_300m,21801,7.765113891214101,5.6344322248312855,6.466769970205191,4.355887856099096,1.4554075803511084,3.4562955184220905,2.1306816663828156
