variable,design,n,background_rmse,corrected_rmse,background_mae,corrected_mae,background_bias,corrected_bias,background_r2,corrected_r2
Temperature,CALENDAR_ALIGNED_CROSS_YEAR_OPERATIONAL_STRESS_TEST,1430,6.638217962029429,3.8870070044078937,5.7019208531403835,3.131038821213055,-5.671540966265737,-1.3251734524642709,-1.8023448461233456,0.0391641314914745
Dew point,CALENDAR_ALIGNED_CROSS_YEAR_OPERATIONAL_STRESS_TEST,1430,7.0804317069435685,5.430533213062218,5.520666218153791,4.329221127814871,-5.0697101982427935,-2.689460678106217,-2.842300669795504,-1.2602517720186697
U10,CALENDAR_ALIGNED_CROSS_YEAR_OPERATIONAL_STRESS_TEST,1430,0.7141749087348983,0.8806856746234516,0.4800890496819411,0.6170016141625421,0.0929383960920891,0.189192487497613,-0.0684006070210696,-0.6246761845231206
V10,CALENDAR_ALIGNED_CROSS_YEAR_OPERATIONAL_STRESS_TEST,1430,1.068093820461123,1.835456184064149,0.8735744602006932,1.4002384489496906,-0.3689182178479997,-0.8284714127976763,-1.5964337406582083,-6.667371077510696
Wind speed,CALENDAR_ALIGNED_CROSS_YEAR_OPERATIONAL_STRESS_TEST,1430,1.0097795021711078,1.7493140386595234,0.7559204149113612,1.3316780476233647,0.2739926104817553,0.8420410127184248,-0.5446199885319603,-3.635580341366448
