variable,group,n,background_rmse,background_mae,background_bias,background_r2,corrected_rmse,corrected_mae,corrected_bias,corrected_r2,delta_rmse_bg_minus_corrected,delta_mae_bg_minus_corrected,bias_shift_corrected_minus_bg
Temperature,all,210307,5.333413215074663,4.324217490166964,-3.178623167971646,0.33208870863129725,3.329313855986717,2.419895468100545,0.49909017119688365,0.7397337847968699,2.004099359087946,1.904322022066419,3.6777133391685295
Dew_point_constrained,all,210307,4.6285555175781825,3.61006242579527,-2.031661923627272,0.526229486150511,3.1120244248583604,2.107907911126746,0.4049154714266859,0.7858278150896731,1.5165310927198221,1.5021545146685238,2.436577395053958
U10,all,210263,1.8434741229271985,1.2252268942464597,-0.17593897694273994,0.09366669586321108,1.853421410025108,1.2215265475060848,-0.12785096386603875,0.08385925544206796,-0.009947287097909596,0.0037003467403748935,0.048088013076701186
V10,all,210263,1.9353641485360789,1.2872332328365517,-0.04385882562202802,0.2518143759858865,1.870748861561952,1.2650226272682716,0.019144140943624953,0.30093919148768034,0.06461528697412677,0.02221060556828003,0.06300296656565298
Wind_speed,all,210263,2.247993421248901,1.3833036351041432,-1.1937096850070787,-0.2896535143604846,2.01927971308217,1.3131833938065445,-1.0477516914981533,-0.040581111318916285,0.22871370816673098,0.07012024129759875,0.14595799350892547
