variable,group,n,background_rmse,background_mae,background_bias,background_r2,corrected_rmse,corrected_mae,corrected_bias,corrected_r2,delta_rmse_bg_minus_corrected,delta_mae_bg_minus_corrected,bias_shift_corrected_minus_bg
Temperature,mismatch_mismatch,48596,5.525697521797696,4.763012900076104,-1.5463934329673679,0.23867864490181967,4.865308152276408,3.5842995861629476,2.3635010292429635,0.4097792131660203,0.6603893695212877,1.1787133139131565,3.9098944622103313
Temperature,mismatch_regular,161711,5.274259920982596,4.192354464522792,-3.6691268207984042,0.3250547318555751,2.702189101054595,2.0699787492542048,-0.061186557396763624,0.8228353885906521,2.5720708199280007,2.122375715268587,3.6079402634016406
Temperature,aligned_le_100m,141551,5.041218276162925,3.9479578379665377,-3.4818354618962024,0.36689892592129825,2.6149182129026842,1.9815821087910124,0.06431749577093772,0.8296593633550599,2.426300063260241,1.9663757291755253,3.54615295766714
Temperature,moderate_100_300m,48825,6.123705177031215,5.297529243376458,-3.641475184476733,0.12034968426087966,3.185898590147081,2.4510938543816088,0.10797881905938925,0.7619076666979706,2.937806586884134,2.846435388994849,3.749454003536122
Temperature,high_gt_300m,19931,5.271984203310146,4.612109902899337,0.10865559993642483,0.31665291405138907,6.597907781398383,5.456393040397506,4.544974409184502,-0.0703002539274662,-1.3259235780882364,-0.8442831374981692,4.436318809248077
Dew_point_constrained,mismatch_mismatch,48596,5.474896167751913,4.430503181378787,-0.04247484812255272,0.4098867500574124,4.819435715020191,3.469993865824369,2.3367793049799657,0.5427265616421824,0.655460452731722,0.9605093155544182,2.379254153102518
Dew_point_constrained,mismatch_regular,161711,4.342103707225693,3.363510620671706,-2.629435328783553,0.5328682125630195,2.3696183334923315,1.698585545582746,-0.1756316456856638,0.8608779912136267,1.9724853737333614,1.6649250750889597,2.453803683097889
Dew_point_constrained,aligned_le_100m,141551,4.154122690711719,3.190301602406255,-2.5720417384982146,0.5571799697591,2.2508056966049033,1.600530536783211,-0.1037170892879147,0.86999961745986,1.9033169941068158,1.589771065623044,2.4683246492102997
Dew_point_constrained,moderate_100_300m,48825,5.548763037144481,4.386406528618352,-1.6430674171329964,0.3894690654740445,3.6999290292930143,2.5112543969305876,0.6014513453721921,0.728542338038433,1.8488340078514671,1.8751521316877642,2.2445187625051886
Dew_point_constrained,high_gt_300m,19931,5.298512734835771,4.68941436454402,0.8542031305703964,0.3550114138161261,5.7162493219918895,4.723249968541281,3.535796187714032,0.24930004447023502,-0.41773658715611894,-0.03383560399726093,2.6815930571436355
U10,mismatch_mismatch,48596,2.065602791290697,1.263799989911466,-0.31595767282374104,0.00017794425809392056,2.0699033064669785,1.278925403135071,-0.2831820640854355,-0.003989580988709607,-0.004300515176281383,-0.015125413223604944,0.03277560873830554
U10,mismatch_regular,161667,1.7712668758355559,1.2136320841928518,-0.133850309836694,0.12253303065682142,1.783218571391708,1.2042728421231297,-0.08115949222209283,0.11065159179768269,-0.011951695556152053,0.009359242069722162,0.05269081761460116
U10,aligned_le_100m,141507,1.7413363982204253,1.1844173475494173,-0.0782587990422927,0.13218493874558623,1.7649726483932233,1.1825650726829393,-0.02801832158845165,0.10846625428277445,-0.023636250172798023,0.0018522748664779876,0.050240477453841054
U10,moderate_100_300m,48825,2.242729432233141,1.4122889582870255,-0.4813179653262416,-0.008837466543485162,2.223887953602554,1.398323603819112,-0.4249674219659891,0.008042095411109007,0.018841478630586828,0.013965354467913471,0.056350543360252525
U10,high_gt_300m,19931,1.414718296577974,1.0567221151424382,-0.12136569042094554,0.013569939940204168,1.416732934018676,1.0650469500606607,-0.10880057221707172,0.010758477123222865,-0.0020146374407019607,-0.008324834918222557,0.01256511820387382
V10,mismatch_mismatch,48596,2.5492500715583852,1.607662146407881,-0.3289244309254545,0.22266315364516864,2.358109473919381,1.5419007428352944,-0.20869500614431702,0.3348611733662301,0.19114059763900437,0.06576140357258664,0.12022942478113746
V10,mismatch_regular,161667,1.7082414454481425,1.1909144820468895,0.041829955361879084,0.26215430744644186,1.697110793358352,1.18179494998042,0.08763103803385133,0.27173837102467513,0.011130652089790471,0.009119532066469649,0.04580108267197225
V10,aligned_le_100m,141507,1.7238522984710583,1.208393130560694,0.0677075020110012,0.2691789927639908,1.6880282270098363,1.1775460175373398,0.07112107239967244,0.29923834901598056,0.03582407146122191,0.0308471130233543,0.0034135703886712387
V10,moderate_100_300m,48825,2.359791653787039,1.4563905316286088,-0.2983218819169077,0.21093315825080372,2.209598013060364,1.4366149170928146,-0.058361499118876774,0.3081801582059711,0.15019364072667507,0.019775614535794128,0.23996038279803095
V10,high_gt_300m,19931,2.185159474249273,1.4326008129493217,-0.2126038760846023,0.24872610906895143,2.1747296582386224,1.4657430659071555,-0.16001830767908673,0.2558806885710282,0.010429816010650406,-0.033142252957833795,0.052585568405515565
Wind_speed,mismatch_mismatch,48596,2.9395102843379943,1.7613450921958038,-1.6466042705052333,-0.3777601820303884,2.4537564692648886,1.5628835853542256,-1.3835574581813068,0.03996608285824277,0.4857538150731058,0.19846150684157826,0.26304681232392646
Wind_speed,mismatch_regular,161667,1.993783488680346,1.2696669458056076,-1.0575726547110484,-0.2595380011827606,1.8690394998483404,1.2381252155237092,-0.9468107633078946,-0.10685885622680691,0.12474398883200566,0.03154173028189833,0.11076189140315384
Wind_speed,aligned_le_100m,141507,1.9923328622369054,1.2670857724017026,-1.0468171521496852,-0.2541137944033931,1.912474135550888,1.2640648403231192,-1.0002550609903615,-0.15559136729294631,0.07985872668601735,0.0030209320785834493,0.04656209115932364
Wind_speed,moderate_100_300m,48825,2.8550986323951917,1.6773114627862236,-1.5223787392758252,-0.29558846951254814,2.1945843087999815,1.3492953218774222,-1.0069062882648374,0.23452787273837583,0.6605143235952102,0.3280161409088014,0.5154724510109878
Wind_speed,high_gt_300m,19931,2.271750352485908,1.4882009764747066,-1.431482755720021,-0.6220882149972702,2.29114227925989,1.5734540405236421,-1.4850294249853195,-0.6498990784634411,-0.01939192677398216,-0.08525306404893551,-0.05354666926529861
